Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Czechia","CZE","230.775","172.623","120.745","114.572","112.244","109.118","109.159","110.448","107.105","111.913","126.9","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Denmark","DNK","155.211","125.917","90.145","86.724","82.945","82.426","78.186","77.895","73.629","71.498","68.914","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Djibouti","DJI","350.113","340.946","301.052","303.382","299.039","296.644","291.386","289.534","289.928","301.584","310.975","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Dominica","DMA","235.303","164.978","196.331","186.437","191.877","187.967","200.79","168.649","169.992","168.955","174.032","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Dominican Republic","DOM","234.53","238.7","198.442","197.638","195.897","193.207","190.068","187.661","186.726","198.832","205.723","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Ecuador","ECU","216.034","194.621","148.173","142.674","139.174","139.034","138.002","139.401","141.688","213.076","198.146","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Egypt, Arab Rep.","EGY","242.398","222.621","215.247","208.015","204.216","198.622","189.703","185.95","182.015","185.848","198.911","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","El Salvador","SLV","382.027","299.971","276.703","281.871","291.402","302.876","308.258","299.113","270.557","293.265","299.725","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Equatorial Guinea","GNQ","377.6","359.711","313.154","312.676","308.122","302.471","302.801","296.427","291.035","318.217","321.862","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Eritrea","ERI","428.157","383.152","255.451","250.365","244.416","243.233","239.021","234.181","231.268","234.245","245.654","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Estonia","EST","300.013","308.009","169.327","181.112","169.877","168.184","154.542","157.234","147.038","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Eswatini","SWZ","296.643","652.02","645.741","612.949","577.301","543.607","511.741","485.246","464.463","484.633","545.723","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Ethiopia","ETH","475.66","392.511","286.512","280.699","275.376","270.596","262.852","260.701","255.844","263.664","277.053","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Faroe Islands","FRO","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Fiji","FJI","302.98","294.554","259.781","259.844","270.839","256.585","245.053","242.047","238.493","235.5","244.298","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Finland","FIN","183.067","144.431","104.868","98.834","94.538","94.85","90.312","89.859","87.823","91.897","86.883","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","France","FRA","167.565","138.639","105.322","100.472","101.59","97.921","95.38","94.2","91.761","92.936","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","French Polynesia","PYF","126.57","76.903","57.184","55.848","54.909","53.938","52.993","51.848","50.441","49.364","74.667","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Gabon","GAB","292.782","292.688","287.784","288.782","284.023","278.609","280.328","279.043","269.162","270.109","285.584","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Gambia, The","GMB","368.546","329.7","273.392","277.921","275.021","271.493","275.099","275.69","269.133","292.306","302.788","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Georgia","GEO","262.996","246.438","236.467","228.461","224.903","220.703","217.559","222.556","221.687","231.779","253.072","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Germany","DEU","158.105","125.456","94.684","91.119","92.451","89.99","86.511","86.917","83.621","85.005","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Ghana","GHA","326.167","303.858","285.68","281.682","281.403","274.45","273.793","274.577","268.562","281.151","287.935","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Gibraltar","GIB","123.253","84.202","90.498","88.398","95.915","76.9","75.122","72.081","69.591","69.334","87.431","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Greece","GRC","114.09","112.969","95.259","93.78","95.382","89.747","91.658","86.587","86.395","93.517","103.661","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Greenland","GRL","337.506","280.707","205.194","202.932","199.838","199.006","195.615","198.501","198.185","197.516","197.337","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Grenada","GRD","217.658","192.935","167.679","169.917","167.442","168.029","164.607","161.321","157.885","154.437","150.965","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Guam","GUM","198.751","195.377","193.86","193.571","193.633","188.827","184.151","179.411","174.733","171.021","176.508","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Guatemala","GTM","312.104","284.75","232.777","229.433","227.288","223.826","220.571","216.988","210.311","239.504","275.128","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Guinea","GIN","354.245","322.817","303.593","306.27","300.582","286.703","286.215","281.443","280.338","288.494","303.082","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Guinea-Bissau","GNB","396.461","427.894","353.169","351.273","345.857","339.359","332.507","331.077","324.474","353.359","362.432","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Guyana","GUY","344.962","338.359","301.917","292.555","287.822","286.457","283.129","280.299","275.732","284.375","339.631","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Haiti","HTI","372.099","321.552","288.287","285.009","282.932","283.233","279.025","278.779","279.393","282.028","297.684","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Honduras","HND","242.283","204.301","176.103","169.177","168.72","168.372","167.817","167.327","167.375","185.81","208.186","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Hong Kong SAR, China","HKG","116.992","87.767","65.466","63.1","61.269","59.847","57.845","55.832","54.412","52.867","51.22","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Hungary","HUN","305.087","271.44","182.243","179.963","177.627","172.279","168.058","166.734","159.172","164.516","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Iceland","ISL","116.7","98.715","67.441","68.392","67.533","65.669","75.761","69.032","64.223","66.072","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","India","IND","267.505","252.631","214.491","208.244","202.425","197.778","195.1","194.114","193.514","202.334","253.832","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Indonesia","IDN","233.257","214.959","206.261","200.078","199.15","199.765","199.216","193.961","192.873","219.64","244.106","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Iran, Islamic Rep.","IRN","254.133","189.732","143.721","135.806","133.452","127.687","125.2","121.821","127.359","154.124","151.24","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Iraq","IRQ","427.144","255.853","233.569","219.125","200.684","247.681","208.762","165.028","166.628","206.793","183.88","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Ireland","IRL","133.277","119.257","81.065","78.763","74.33","72.089","70.771","70.339","71.605","67.313","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Isle of Man","IMN","188.642","141.623","93.384","86.002","94.464","83.696","82.565","81.449","80.347","82.1","84.422","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Israel","ISR","107.039","102.6","75.007","72.471","72.987","70.873","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Italy","ITA","130.512","101.334","67.898","66.045","67.307","64.479","66.506","63.203","61.477","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Jamaica","JAM","145.104","193.486","143.705","154.63","172.324","185.5","191.1","196.132","197.133","195.289","212.067","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Japan","JPN","108.856","98.382","75.083","72.613","70.18","68.737","66.604","65.289","64.375","64.547","64.319","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Jordan","JOR","175.186","151.84","123.75","121.02","118.291","116.35","113.411","110.837","108.406","115.343","125.741","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Kazakhstan","KAZ","340.997","394.509","285.972","276.485","269.752","256.092","250.618","246.569","246.621","277.164","274.47","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Kenya","KEN","340.666","451.008","387.989","389.771","394.214","386.588","391.564","389.762","381.951","389.647","419.404","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Kiribati","KIR","281.947","243.749","230.457","227.873","225.125","222.497","219.952","217.243","213.431","211.651","208.417","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Korea, Dem. People's Rep.","PRK","174.256","262.785","165.524","160.948","183.169","183.857","182.474","182.567","180.725","180.708","182.375","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Korea, Rep.","KOR","233.201","158.382","80.3","74.642","70.803","66.374","62.251","60.44","57.021","72.497","69.268","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Kosovo","XKX","172.11","141.688","102.216","99.418","98.212","95.448","96.139","95.182","91.812","106.861","110.771","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Kuwait","KWT","165.168","94.011","69.106","65.17","64.129","60.943","60.066","59.965","59.479","84.858","64.407","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Kyrgyz Republic","KGZ","315.831","318.772","270.904","260.812","252.916","255.964","249.818","251.03","245.786","271.377","269.527","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Lao PDR","LAO","346.425","310.79","229.475","224.069","219.611","215.175","210.499","207.05","202.966","194.231","201.753","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Latvia","LVA","309.934","329.836","242.15","241.36","234.554","229.587","228.584","229.116","210.61","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Lebanon","LBN","410.451","127.526","81.237","79.804","77.379","75.598","76.06","72.251","77.491","89.717","125.642","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Lesotho","LSO","410.435","636.149","655.398","623.903","593.377","568.273","546.7","529.304","516.418","504.362","552.668","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Liberia","LBR","725.361","344.015","300.145","313.212","319.026","298.583","300.275","300.998","295.617","303.559","308.72","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Libya","LBY","178.342","175.326","185.37","223.09","218.903","220.441","198.959","193.049","203.905","189.773","190.653","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Liechtenstein","LIE","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Lithuania","LTU","287.642","292.937","265.849","250.161","245.418","242.472","212.885","206.93","200.925","223.683","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Luxembourg","LUX","152.45","127.293","80.788","79.192","72.385","73.837","66.343","67.274","66.112","68.632","65.229","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Macao SAR, China","MAC","99.069","74.429","61.559","59.338","58.024","56.208","52.729","50.297","49.986","48.424","46.731","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Madagascar","MDG","366.883","300.028","264.351","259.267","258.218","251.055","251.676","250.993","245.413","256.518","270.716","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Malawi","MWI","473.802","583.218","417.766","414.236","408.396","400.549","393.318","392.518","378.171","384.223","395.225","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Malaysia","MYS","185.218","180.519","161.236","159.003","160.29","157.353","154.334","150.914","147.706","144.397","149.207","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Maldives","MDV","210.976","137.224","63.568","60.851","59.055","57.692","57.845","57.041","56.172","57.86","52.609","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Mali","MLI","362.791","326.82","298.985","292.669","289.451","284.615","284.189","287.255","284.075","312.723","311.356","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Malta","MLT","103.676","98.555","62.594","56.113","53.663","49.224","49.28","49.449","49.162","48.614","42.594","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Marshall Islands","MHL","358.071","320.217","316.147","313.583","310.541","306.672","303.531","300.239","296.549","293.702","289.512","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Mauritania","MRT","274.939","254.742","228.601","224.238","223.822","219.675","219.352","215.489","215.025","232.762","237.908","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Mauritius","MUS","246.403","217.068","182.597","180.284","177.845","177.357","177.644","174.708","170.933","198.757","197.368","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Mexico","MEX","241.386","190.242","184.452","184.294","187.351","193.592","200.69","205.793","205.773","283.286","288.394","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Micronesia, Fed. Sts.","FSM","231.753","191.166","177.111","179.812","183.395","183.684","190.702","198.084","207.412","219.922","219.939","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Moldova","MDA","282.102","319.773","303.294","303.041","299.509","284.432","270.453","272.06","261.404","271.998","299.916","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Monaco","MCO","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Mongolia","MNG","321.347","322.11","305.241","296.525","287.841","281.382","272.812","263.608","254.99","250.018","261.862","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Montenegro","MNE","173.193","166.942","133.61","132.318","130.19","129.302","129.019","124.39","127.235","135.501","136.647","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Morocco","MAR","262.833","215.306","151.14","145.857","141.134","136.937","133.429","130.373","127.668","130.197","128.703","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Mozambique","MOZ","437.264","443.673","420.951","410.274","397.887","384.264","368.919","359.782","347.809","355.094","409.38","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Myanmar","MMR","358.343","330.338","276.409","275.411","268.881","268.477","267.665","258.437","257.395","251.896","278.762","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Namibia","NAM","328.21","586.278","505.335","475.479","454.913","436.567","425.564","419.617","409.246","415.244","496.221","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Nauru","NRU","415.844","476.191","437.636","427.165","419.602","412.713","409.1","405.662","403.608","404.431","397.997","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Nepal","NPL","322.506","262.264","213.731","212.929","222.232","205.055","204.57","205.642","197.129","201.323","215.823","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Netherlands","NLD","116.432","100.046","70.412","67.33","66.691","65.56","64.74","63.963","62.374","#N/A","#N/A","#N/A"
